#Base,Mean,Median,Lower Quartile,Upper Quartile,10th Percentile,90th Percentile,ID
1,33.55967082780189,34.0,34.0,34.0,34.0,34.0,SRR25023301_1_val_1_fastqc_1
2,33.627405481988866,34.0,34.0,34.0,34.0,34.0,SRR25023301_1_val_1_fastqc_1
3,33.68454207060171,34.0,34.0,34.0,34.0,34.0,SRR25023301_1_val_1_fastqc_1
4,33.712498652000434,34.0,34.0,34.0,34.0,34.0,SRR25023301_1_val_1_fastqc_1
5,33.70330622459718,34.0,34.0,34.0,34.0,34.0,SRR25023301_1_val_1_fastqc_1
6,37.37004354503434,38.0,38.0,38.0,37.0,38.0,SRR25023301_1_val_1_fastqc_1
7,37.34297571369605,38.0,38.0,38.0,37.0,38.0,SRR25023301_1_val_1_fastqc_1
8,37.00049085777396,38.0,38.0,38.0,35.0,38.0,SRR25023301_1_val_1_fastqc_1
9,37.08257566461027,38.0,38.0,38.0,36.0,38.0,SRR25023301_1_val_1_fastqc_1
10-14,36.9988531777463,38.0,37.6,38.0,35.4,38.0,SRR25023301_1_val_1_fastqc_1
15-19,37.12183908045977,38.0,37.8,38.0,35.8,38.0,SRR25023301_1_val_1_fastqc_1
20-24,37.08552943458648,38.0,38.0,38.0,36.0,38.0,SRR25023301_1_val_1_fastqc_1
25-29,36.9340046611119,38.0,37.6,38.0,35.4,38.0,SRR25023301_1_val_1_fastqc_1
30-34,36.88231288112812,38.0,37.2,38.0,35.2,38.0,SRR25023301_1_val_1_fastqc_1
35-39,36.86037566216449,38.0,37.0,38.0,35.0,38.0,SRR25023301_1_val_1_fastqc_1
40-44,36.81848846863576,38.0,37.0,38.0,34.8,38.0,SRR25023301_1_val_1_fastqc_1
45-49,36.71355736682165,38.0,37.0,38.0,34.4,38.0,SRR25023301_1_val_1_fastqc_1
50-54,36.76139508295945,38.0,37.0,38.0,34.4,38.0,SRR25023301_1_val_1_fastqc_1
55-59,36.68097025204901,38.0,37.0,38.0,34.2,38.0,SRR25023301_1_val_1_fastqc_1
60-64,36.707920814378696,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
65-69,36.68199284941738,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
70-74,36.6220791829562,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
75-79,36.52567262017429,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
80-84,36.49094416565664,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
85-89,36.48020719168123,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
90-94,36.4514067645144,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
95-99,36.276914333690826,38.0,37.0,38.0,33.4,38.0,SRR25023301_1_val_1_fastqc_1
100-104,36.30294871733766,38.0,37.0,38.0,33.6,38.0,SRR25023301_1_val_1_fastqc_1
105-109,36.216129425531705,38.0,37.0,38.0,32.8,38.0,SRR25023301_1_val_1_fastqc_1
110-114,36.23042340323224,38.0,37.0,38.0,33.2,38.0,SRR25023301_1_val_1_fastqc_1
115-119,36.12489499194883,38.0,37.0,38.0,32.4,38.0,SRR25023301_1_val_1_fastqc_1
120-124,36.1820007870917,38.0,37.0,38.0,32.4,38.0,SRR25023301_1_val_1_fastqc_1
125-129,36.0220860683262,38.0,37.0,38.0,32.0,38.0,SRR25023301_1_val_1_fastqc_1
130-134,35.907024553700936,38.0,36.6,38.0,31.6,38.0,SRR25023301_1_val_1_fastqc_1
135-139,36.09696958512095,38.0,37.0,38.0,33.0,38.0,SRR25023301_1_val_1_fastqc_1
140-144,36.13290327605762,38.0,37.0,38.0,32.6,38.0,SRR25023301_1_val_1_fastqc_1
145-149,36.07034395079232,38.0,36.8,38.0,32.4,38.0,SRR25023301_1_val_1_fastqc_1
150-154,36.297463530362094,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
155-159,36.28326685620426,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
160-164,36.3185778771797,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
165-169,36.19927992756885,38.0,37.0,38.0,33.6,38.0,SRR25023301_1_val_1_fastqc_1
170-174,36.33072594804962,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
175-179,36.38373775663222,38.0,37.0,38.0,34.0,38.0,SRR25023301_1_val_1_fastqc_1
180-184,36.15892852005664,38.0,37.0,38.0,33.6,38.0,SRR25023301_1_val_1_fastqc_1
185-189,35.862959474717364,38.0,37.0,38.0,32.2,38.0,SRR25023301_1_val_1_fastqc_1
190-194,35.686050960274954,38.0,37.0,38.0,31.2,38.0,SRR25023301_1_val_1_fastqc_1
195-199,35.39508707199776,38.0,36.0,38.0,29.8,38.0,SRR25023301_1_val_1_fastqc_1
200-204,35.2474493424681,38.0,36.0,38.0,28.6,38.0,SRR25023301_1_val_1_fastqc_1
205-209,35.57829763772677,38.0,36.6,38.0,30.8,38.0,SRR25023301_1_val_1_fastqc_1
210-214,35.25836911612714,37.8,35.6,38.0,28.8,38.0,SRR25023301_1_val_1_fastqc_1
215-219,34.50937066879273,37.2,34.6,38.0,26.0,38.0,SRR25023301_1_val_1_fastqc_1
220-224,33.989110917453495,37.0,34.2,38.0,22.6,38.0,SRR25023301_1_val_1_fastqc_1
225-229,33.73590384474194,37.0,33.8,38.0,22.8,38.0,SRR25023301_1_val_1_fastqc_1
230-234,33.11833037857246,36.4,32.4,38.0,21.8,38.0,SRR25023301_1_val_1_fastqc_1
235-239,31.15450579936117,35.2,27.4,37.6,15.8,38.0,SRR25023301_1_val_1_fastqc_1
240-244,28.962197199342462,33.0,23.6,36.6,13.8,37.6,SRR25023301_1_val_1_fastqc_1
245-249,29.950141682028544,32.8,25.8,36.6,16.6,37.4,SRR25023301_1_val_1_fastqc_1
1,32.98974404741983,34.0,34.0,34.0,32.0,34.0,SRR25023301_2_val_2_fastqc_2
2,33.23123119773015,34.0,34.0,34.0,33.0,34.0,SRR25023301_2_val_2_fastqc_2
3,33.33087160722454,34.0,34.0,34.0,34.0,34.0,SRR25023301_2_val_2_fastqc_2
