ID,unfiltered,filtered,depth_mean,depth_std,group
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,988,659,644.2401215805471,843.7895573932157,controls
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,855,534,530.7694704049844,733.0724319192689,controls
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,787,462,480.7784615384616,657.9899339947127,controls
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,1022,691,623.8942598187311,807.493629394316,controls
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,1053,747,661.7843137254902,894.7806101006829,controls
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,1353,1017,1244.7916666666667,1584.8730834978614,cases
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,1185,851,1006.0269461077844,1174.4442155708985,cases
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,1160,817,1226.332361516035,1403.7631901040822,cases
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,1514,1171,1206.3206997084549,1439.2941950455809,cases
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,1115,770,1063.08115942029,1195.7151573765582,cases
