Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR25023301_1	3.5	275160	42500	275160	34269200	2668768	31369491	8.46156023484645
SRR25023301_2	3.5	275160	47843	275160	35270524	5013209	29868881	15.314892968417482
SRR25023302_1	3.5	284645	46509	284645	36674007	2961192	33466419	8.746216359723114
SRR25023302_2	3.5	284645	53242	284645	38296323	6321108	31585558	17.523261959118113
SRR25023303_1	3.5	274626	44031	274626	34616774	2827188	31556146	8.841459345691774
SRR25023303_2	3.5	274626	51382	274626	35998157	5796004	29872000	17.017974003502456
SRR25023304_1	3.5	242137	37677	242137	30888796	2463585	28227388	8.616094975019422
SRR25023304_2	3.5	242137	43544	242137	31865854	4811303	26726003	16.129650879590425
SRR25023305_1	3.5	269774	43374	269774	34227488	2984709	31016305	9.381883356441465
SRR25023305_2	3.5	269774	50214	269774	35702058	6265187	29086374	18.530259516132094
