Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR25023301_1	8.46156023484645					
SRR25023301_1_val_1		62.77546158427636	33.0	114.40171130869376	27.27272727272727	268917.0
SRR25023301_2	15.314892968417482					
SRR25023301_2_val_2		62.436948044205735	32.0	110.9079492929045	36.36363636363637	268917.0
SRR25023302_1	8.746216359723114					
SRR25023302_1_val_1		63.43832572068999	33.0	118.00211595887963	27.27272727272727	276943.0
SRR25023302_2	17.523261959118113					
SRR25023302_2_val_2		62.937538712803544	33.0	113.8848896704376	36.36363636363637	276943.0
SRR25023303_1	8.841459345691774					
SRR25023303_1_val_1		65.29053700799163	32.0	115.33960340578086	36.36363636363637	267780.0
SRR25023303_2	17.017974003502456					
SRR25023303_2_val_2		64.34050339831205	32.0	111.3902830681903	45.45454545454545	267780.0
SRR25023304_1	8.616094975019422					
SRR25023304_1_val_1		65.62975715454843	33.0	117.04920514440548	36.36363636363637	235829.0
SRR25023304_2	16.129650879590425					
SRR25023304_2_val_2		64.5446488769405	33.0	113.17645412565885	36.36363636363637	235829.0
SRR25023305_1	9.381883356441465					
SRR25023305_1_val_1		67.02399534784072	33.0	115.4844099103235	36.36363636363637	261384.0
SRR25023305_2	18.530259516132094					
SRR25023305_2_val_2		65.04988828696477	33.0	111.07164172252318	36.36363636363637	261384.0
