Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR25023039_1	3.5	168082	28366	168082	24673544	2786364	21742625	11.878792118392072
SRR25023039_2	3.5	168082	38595	168082	24351980	6749137	17469704	28.261669071673023
SRR25023040_1	3.5	164405	27837	164405	24178232	2691939	21343185	11.725617489318491
SRR25023040_2	3.5	164405	37236	164405	23632444	6092527	17413678	26.31452760450845
SRR25023041_1	3.5	140491	24397	140491	21011916	2390129	18504395	11.933804608775326
SRR25023041_2	3.5	140491	33421	140491	20842784	5988792	14745220	29.25503617942785
SRR25023042_1	3.5	139067	22660	139067	20414585	2260100	18038268	11.640290507987304
SRR25023042_2	3.5	139067	30659	139067	20213204	5547181	14566768	27.934393775474685
SRR25023043_1	3.5	147283	25820	147283	22152121	2543125	19484973	12.040147306887679
SRR25023043_2	3.5	147283	34031	147283	21689593	5939442	15639048	27.896074398445375
