Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR25023039_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023039_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023039_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023039_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023040_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023040_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023040_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023040_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023041_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023041_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023041_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023041_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023042_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023042_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023042_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023042_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023043_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023043_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR25023043_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023043_2.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR25023039_1_val_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023039_1_val_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023039_2_val_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023039_2_val_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023040_1_val_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023040_1_val_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023040_2_val_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023040_2_val_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023041_1_val_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023041_1_val_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023041_2_val_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023041_2_val_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023042_1_val_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023042_1_val_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023042_2_val_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023042_2_val_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023043_1_val_1	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023043_1_val_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR25023043_2_val_2	/home/fer/Documents/AutoMethycTest/output/Bismark/controls/fastq_trimmed/SRR25023043_2_val_2_fastqc/fastqc_data.txt
