ID,Type,variable,value
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034373,0.8233795568847266
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034373,-1.485187543358667
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034373,0.5214938747810975
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034373,-0.5757779950496729
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr3:37034373,0.7160921067425158
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034373,0.5081805159622156
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034373,0.2403494345266955
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034373,-0.3037432779464369
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034373,0.4117052324411059
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr3:37034373,1.7631884554925417
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647545,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647545,
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647545,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647545,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:22647545,
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647545,
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647545,
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647545,
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647545,
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:22647545,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56770003,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56770003,
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56770003,
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56770003,
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr17:56770003,
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56770003,
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56770003,
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56770003,inf
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56770003,inf
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr17:56770003,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596900,-0.7765112147570068
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596900,0.6140932496567008
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596900,-1.361896840620885
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596900,0.8033216842165876
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596900,0.7209931215046012
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596900,4.55912667698397
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596900,0.4270842189990785
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596900,0.2501416819972827
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596900,-1.2691139937989866
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596900,-0.1193843981998085
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543618,0.1953445523935285
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543618,-0.3750982790313784
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543618,-1.0425163917985212
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543618,1.60796233576564
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543618,-0.3856922173292696
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543618,-1.0425163917985212
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543618,0.5064646827519604
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543618,-1.0425163917985212
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543618,-1.0425163917985212
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543618,-1.0425163917985212
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr13:32889484,0.2129211238534216
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr13:32889484,-1.4418643510231175
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr13:32889484,1.3495845003979132
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr13:32889484,-0.2136769311512619
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr13:32889484,0.0930356579230456
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13:32889484,0.3594951965448215
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13:32889484,0.0788205655175787
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13:32889484,-0.3418337819160801
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13:32889484,-1.061077561966063
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr13:32889484,1.9723552429170823
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093338,
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093338,-0.5000000000000001
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093338,1.5000000000000002
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093338,-0.5000000000000001
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr11:108093338,-0.5000000000000001
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093338,-0.235426008968609
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093338,0.3383658969804621
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093338,0.3863849765258219
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093338,0.3378698224852082
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr11:108093338,1.138888888888888
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138102,-0.4472135954999579
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138102,1.7888543819998317
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138102,-0.4472135954999579
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138102,-0.4472135954999579
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr22:29138102,-0.4472135954999579
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138102,-0.4472135954999579
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138102,-0.4472135954999579
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138102,1.9359641173616549
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138102,
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr22:29138102,
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596828,-0.6605152708172065
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596828,0.3240902240975666
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596828,-1.3753129687379697
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596828,1.0818953611717557
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr2:47596828,0.629842654285855
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596828,6.200603680738589
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596828,1.4206727566530006
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596828,1.2160057097469914
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596828,0.8441175373807004
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr2:47596828,0.6654052551118826
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543733,1.0241079575428562
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543733,-0.7796916504090661
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543733,-1.2014967291193284
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543733,0.9484806138213264
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr6:43543733,0.00859980816421
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543733,2.899385980563777
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543733,-0.3858515492928547
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543733,-1.2014967291193284
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543733,-1.2014967291193284
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr6:43543733,-1.2014967291193284
SRR25023039_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048892,-0.1279208166933474
SRR25023040_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048892,0.4900756169553105
SRR25023041_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048892,-1.2322798201715812
SRR25023042_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048892,1.3958928342014782
SRR25023043_1_val_1_bismark_bt2_pe.bismark.cov,controls,chr7:6048892,-0.5257678142918594
SRR25023301_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048892,2.304750042905172
SRR25023302_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048892,-0.2181498139344548
SRR25023303_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048892,-0.296267887891596
SRR25023304_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048892,-0.7343279663855307
SRR25023305_1_val_1_bismark_bt2_pe.bismark.cov,cases,chr7:6048892,0.6371558268364536
